,No.,As,I want to ,So that,User Story,Acceptance Criteria,Capability,Sub-Capability,Epic,Unnamed: 9
0,,,,,Transportation Rep like be change status Responded allowance code is submit approval is transportation related complaint ,"Update validation rule (which already allows transportation to respond to a code 21), to include code 88 in the logic. Additionally, there are Canadian specific codes that need to be added to this list.
  Additionally, give plant reps the ability to update allowance code fields
 
  Update Allowance code 88 and 89 to say ""<$300"" rather than ""<$200""
  
  Additionally, Plant Reps will not be able to respond to complaints that are code 21 or 88. Build validation rule that prevents plant reps from doing so.",Plan and manage customer service operations,Manage customer complaints,Manage shipment,Complete shipment processing
1,,,,,like see shipping quantity UOM adding products product button visibility ,,Plan and manage customer service operations,Manage customer complaints,Manage shipment,Inspect shipment related information
2,,,,,like see Invoice record is invoice credit memo debit memo do create complaint credit memo debit memo ,Add visible column on search view for transaction type,Plan and manage customer service operations,Manage customer complaints,Manage invoice,Inspect invoice
3,,,,,RQM like access approval button complaint is ,"Move Approve/Reject buttons to case action section when a complaint has been submitted for approval and is over $3,000",Plan and manage customer service operations,Manage customer complaints,Approve complaint,Approve complaint under certain criteria
4,,,,,like see case number case link escalation email have complaint has been touched hours ,"Please add a filter to include only Complaint Record Types***
  The message should read:
  A complaint assigned to you has been inactive for 2 days. Please take the appropriate actions to resolve this complaint
  
  Case Number: 
  Case Link:",Plan and manage customer service operations,Manage customer service workforce,Manage performance,Notify on idle complaint
5,,,,,like be close cancel complaint entered error having validation rules do have add details do have closing complaint ,"Current picklist values for ""Closed Cancelled Reason"" are:
  Closed for $0 Product Within Specification
  Closed for $0 Informational Complaint
  Complaint Created in Error
  The Closed Cancelled status has a validation rule that the user must enter in product and nature codes, and have at least 1 product assigned to the complaint. 
  When a user closes the complaint with the reason ""Complaint Created in Error"", they should be able to do so at any time with no required fields to be entered. Also, any user profile can perform this action if they are the case owner",Plan and manage customer service operations,Manage customer complaints,Close complaint,Close complaint with errors
6,,,,,like plant dashboard display information related shipping plant do need go report filter plant ,,Plan and manage customer service operations,Manage customer complaints,Manage shipment,Inspect shipment related information
7,,,,,Add fields invoice integration layout including Shipment ID Oracle Order Number Order Control ,,Plan and manage customer service operations,Manage customer complaints,Manage invoice,Enrich invoice detail
8,,,,,like Sales Representative field case be populated complaint account owner account Account Name field account owner contact ,,Plan and manage customer service operations,Manage customer complaints,Sales support,
9,,,,,like see dropdown queues plant CSR transportation queues changing owner complaint find queue remember name ,,Plan and manage customer service operations,Manage customer service workforce,Manage performance,
10,,,,,plant rep select material complaint have send approval is ,,Plan and manage customer service operations,Manage customer complaints,Complaint process control,
11,,,,,transportation rep allowance code complaint is like be change status responded submit complaint approval sending plant ,"Currently users with Transportation profile cannot change the status to ""Responded"" and must send it back to the plant to respond and submit for approval.
  
  
  
  Validation rule restricting the Transportation team from changing the status to responded would have to be lifted, and potentially a second validation would need to be added to ensure that the allowance code value is 21.",Plan and manage customer service operations,Manage customer complaints,Manage shipment,
14,,,,,like track amount time complaint spends transportation CSR queue does impact plant DTR DTC ,,Plan and manage customer service operations,Manage customer service workforce,Manage performance,
15,,,,,like view product case based product selected complaint ,Products will be in Salesforce as part of R7,Plan and manage customer service operations,Manage customer complaints,Technical support,
16,,,,,Sales Rep like receive notification complaint has been closed cancelled contact customer ,"When the status of the complaint changes to ""Closed Cancelled"", send a chatter notification to the user in the 'Sales Representative' field on the case record. The message will say.
  
  A complaint for one of your accounts has been Closed Cancelled.
  
  Case Number:
  
  Account Name:
  
  Contact Name:
  
  Closed Cancelled Reason:
  
  Case Link:",Measure and evaluate customer satisfaction,Measure customer satisfaction level,Customer feedback,
17,,,,,like owner complaint update Sales Representative complaint complaint is closed ,"Workflow Rule:
  
  
  
  When the complaint status = Closed or Closed Cancelled, the Case Owner field will update to the user in the Sales Representative field",Plan and manage customer service operations,Manage customer complaints,Sales support,
18,,,,,like be calculate amount complaint credit team issue credit ,"The calculation for the Complaint Total field is as follows
  
  
  
  Sum of (Material Cost, Labor Cost and Other Cost)
  
  
  
  The calculation will no longer include the addition of the field ""Inbound Freight Cost""",Plan and manage customer service operations,Manage customer complaints,Manage customer credit,Issue credit
19,,,,,user selects allowance code user has ensure is value Material field product accounting document credit ,"Validation Rule:
  If there is an allowance code of ""04 RMR Good Material"", there must be a value greater than 0 in the field ""Good Material"" on the Affected Product before the user can change the status from ""Response Reviewed"" to ""Responded"".
  
  The error message will read ""Please enter a value for 'Good Material' using the Affected Product case action button""",Plan and manage customer service operations,Manage customer complaints,Manage customer credit,Validate credit
