TagID,Capability,Sub
1,Perform Governance and Compliance,Master Data Maintenance
2,Execute Financial Processing,Master Data Governance (DRM)
3,Perform Strategic Planning,Budgeting - Capital Projects
4,Technology Enablement,Chart of Accounts
5,,Integrate Credit memos from Maximo Cloud to Oracle EBS
6,,Measurement/Define Project Status
7,,Resource Plan
8,,Project Timeline
9,,Conversion Strategy
10,,Instance Strategy
11,,Agile/Jira
12,Technology Enablement,Organizational Readiness
13,,HR Shell for SPC
14,,STARS Integrations & Batch Processes
15,,Headcount Management Strategy
16,Manage Supply Chain,Procure Materials and Services
17,,Legacy Cross-workstream Topics
18,Perform Work Management,Capital Projects
19,Manage Supply Chain,Manage Materials and Services
20,Manage Supply Chain,Manage Item and Services Catalog
21,,Data Conversion Strategy
22,Manage Supply Chain,Manage Vendors
23,,Training Alignment
24,,Accounting
25,,Testing Strategy
26,,Infrastructure Planning
27,,SPC - Initiate Corrective Maintenance Work
28,,Evaluate Integrations between Maximo and external systems
29,Company Work Plans,Project Initiation
30,Perform Governance and Compliance,Controls Integration
31,Execute Financial Processing,Financial Consolidations
32,Perform Financial Reporting and Investor Relations,External Reporting - Regulatory
33,Perform Financial Reporting and Investor Relations,External Reporting - SEC
34,Perform Financial Reporting and Investor Relations,Ad Hoc Reporting
35,Execute Financial Processing,Period End Close
36,,F - Asset Life Cycle (LC) Management
37,,Initial Payroll Strategy
38,,F - Initiate Corrective Maintenance Work
39,,Define Reporting Governance
40,,[R2] Implementation strategy for updating worker data in SHIPS
41,,Conversion Strategy for SPC
42,,Technical Security Strategy
43,,Technical Instance Planning
44,,Integration Strategy
45,,Technical CRM Strategy
46,,Define Future Process Flows for Departments
47,,Project Governance
48,,Communication and Training Strategy
49,Manage Taxes,Unclaimed Property
50,,Tax Automation Opportunities for Property Tax
51,Manage Taxes,Sales & Use Tax
52,Manage Taxes,Income and Deferred Taxes
53,Manage Taxes,Tax Accounting
54,,Meeting Strategy
55,,Determine the future state infrastructure for PowerPlan in the AFT retrofit project
56,,Integrate Environment and Data Strategy into Test Strategy and Documentation
57,Company Work Plans,Project Execution & Accounting
58,,General Process Design - Interim State/Parallel System Design
59,Technology Enablement,Program Testing - Release 1
60,Record Accounting Transactions,Integrations - Inbound and Outbound
61,,Design an API for Project Close from Oracle ERP to PowerPlan Interface
62,,Design an API forOracle Projects to PowerPlan Interface(PP transactions outbound)
63,,Design an API forPowerPlan to Oracle Projects Interface (PP transactions inbound)
64,,Design an API for DRM to Oracle Projects Interface
65,,Design an API for Projects / General Interface
66,,Design an API for Oracle Project to PowerPlan s Interface
67,Technology Enablement,Integration foundation and strategy
68,,Design an API for Expenditure to Oracle Projects Interface
69,,Design an API for Returns Interface
70,,Design an API for Receipt Interface
71,,Design an API for SHIPS non-labor Interface
72,,Design an API forSHIPS to Oracle Projects Interface
73,,Design an API for PO Status Interface
74,,Design an API for DRM to Oracle ERP COA Interface
75,,Design an API for PO Interface
76,,Design an API for GL Misc Outbound Interface
77,,Design an API for GL Misc Inbound Interface
78,Perform Governance and Compliance,Intelligent Controls Automation
79,Procure Goods and Services,Accounts Payable & Invoicing
80,,Design an API for Oracle Projects to EPBCS Interface
81,Manage Taxes,Property Tax
82,,Design an API for Oracle Projects Inventory Transactions Interface
83,,"Alignment of Reporting Solutions including the Purpose, Intent, and Scope."
84,,"Alignment of Reporting Team Approach (Scope, Approach, Ownership of Reports etc)"
85,Technology Enablement,DevOps - Foundational
86,Company Work Plans,Project Closure
87,Perform Strategic Planning,Budgeting - Financials
